Name,Latitude,Longitude,Description
10 W KBOUY,24.717933,-82.9821,BUOY
107 WRECK,24.508816,-81.828514,"WRECK AND GENERAL GOOD BOTTOM FISHING AREA - CHUM, READ TUTORIALS"
110FTGROUPER,25.027033,-80.332283,
110FTYELLOWTAIL,25.02211700000001,-80.34375,
247 WRECK,24.550916,-81.81778900000001,"WRECK AND GENERAL GOOD BOTTOM FISHING AREA - CHUM, READ TUTORIALS"
26FTGROUPER,24.930017,-80.44963300000001,
409 Hump,24.591667,-80.591667,"Superb Offshore Trolling for Tuna, Mahi and Sailfish"
409HUMP a,24.59185,-80.5911,see 409 hump comment
70TO90FTBLACKGROUPER,24.931617,-80.4761,
90 WRECK,24.503942,-81.83217000000001,"VERY OLD WRECK, GOOD BOTTOM AROUND THIS HOLE"
95FTGROUPERYELLOWTAIL,24.997733,-80.380883,
ADOLPHBUSCH,24.530683,-81.461467,210 FOOT FREIGHTER WRECK
ALEXANDER,24.861667,-80.568333,"120 FT STEEL BARGE, THE ALEXANDER ALSO BRIDGE RUBBLE"
ALGFINGER,24.841267,-80.62605000000001,Good Bottom Fishing - Bug Cubera's
ALLIGATOR2,24.852084,-80.61644699999999,"GOOD REEF FISHING FOR GROUPER, SNAPPER AND MACKEREL. SEE YOUR TUTORIAL ON PATCH REEF FISHING"
AMERICAN1,24.552033,-81.465317,600 TONS NILES CHANNEL BRIDGE RUBBLE
AMERICAN2,24.55145,-81.466667,NILES CHANNEL BRIDGE RUBBLE
AMERICAN3,24.551983,-81.466967,KEMP CHANNEL BRIDGE RUBBLE
AVAILABLESPOTS,24.862418,-80.212874,DEEP DROP SPOTS FOR THE KEYS ARE AVAILABLE FROM FLFISHINGSPOTS.COM
AVAILABLESPOTS 2,24.62217,-80.503677,DEEP DROP SPOTS FOR THE KEYS ARE AVAILABLE FROM FLFISHINGSPOTS.COM
AVAILABLESPOTS3,24.374814,-81.022921,DEEP DROP SPOTS FOR THE KEYS ARE AVAILABLE FROM FLFISHINGSPOTS.COM
AVAILABLESPOTS4,24.300764,-81.658305,DEEP DROP SPOTS FOR THE KEYS ARE AVAILABLE FROM FLFISHINGSPOTS.COM
AVAILABLESPOTS5,24.322075,-82.147789,DEEP DROP SPOTS FOR THE KEYS ARE AVAILABLE FROM FLFISHINGSPOTS.COM
BAHIAHONDA,24.595917,-81.2907,SPANISH HARBOR BRIDGE SPANS
BAHIAHONDA2,24.595767,-81.28966699999999,BRIDGE RUBBLE
BAITHOLE1,24.495417,-81.98051700000001,RUNNERS W DRY ROCK
Benwood Wreck,25.05267,-80.33366,"old wreck, remnants remaining"
BIBB WRECK,24.995167,-80.37949999999999,"327 FOOT USCG CUTTER BIBB LAYING ON STARBOARD SIDE 95' TO RAIL, DEPTH 130, RELIEF 35, CONFIRMED USING LORAN"
BIGPINEKEY1,24.550267,-81.324967,SHALLOW REEF MODULES WITH PVC
BIGPINEREEF,24.550933,-81.32915,RESEARCH MODULES LOW PROFILE
BIGPINEREEF2,24.541817,-81.32365,"RESEARCH MODULES, HIGH PROFILE"
BIGPINEREEF3,24.544867,-81.32550000000001,"RESEARCH MODULES, HIGH PROFILE"
BOILERS B,25.141182,-80.252037,Subm boiler
BOLIERS A,25.147018,-80.254097,Subm boilers
CannonPatch,25.107786,-80.34311200000001,"PATCH REEF FOR BOTTOM FISHING YELLOWTAIL, MANGROVES - NIGHT FISHING FOR GROUPER- ALWAYS CHUM!!!"
CANNONREEF1,25.103514,-80.34008799999999,anhor chum fish use two chum blocks incoming or ebb tide mangrove ytail grouper
CaptainCrunch,25.008209,-80.392093,WRECK REMAINS
CARYSEDGE,25.193286,-80.22753899999999,GOOD BOTTOM FISHING AND TROLLING
CARYSFORT1,25.166931,-80.19882200000001,WRECK WITH LIVE BOTTOM LEFT OVER
CAYMANWRK,24.4535,-81.766333,187 FT ARMY MINELAYER
CHRISTINA,24.500198,-81.483536,"SCATTERED REEF AND BOTTOM FOR GROUPER, SNAPPER AND MACKEREL. SEE YOUR TUTORIAL ON PATCH REEF FISHING"
COALBIN,24.45,-82.08833300000001,GOOD BOTTOM FISHING AND TROLLING AREA - SCATTERED WRECK AND LIVE BOTTOM
COOTWRECK,24.617099,-82.583168,GOOD BOTTOM
CORAKPATCH133,24.465147,-81.82993,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH099,24.543959,-81.596825,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH100,24.52478500000001,-81.53618299999999,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH101,24.511908,-81.567504,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH102,24.524574,-81.63399699999999,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH103,24.513921,-81.61782700000001,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH104,24.50415,-81.622593,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH105,24.522257,-81.57958000000001,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH106,24.502929,-81.653249,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH107,24.498739,-81.639748,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH108,24.532227,-81.606335,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH109,24.513245,-81.78539600000001,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH110,24.502846,-81.81016,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH111,24.511365,-81.77274,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH112,24.481144,-81.71296100000001,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAITk"
CORALPATCH113,24.475859,-81.683398,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH114,24.475056,-81.711767,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH115,24.471407,-81.76757600000001,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH116,24.469607,-81.787813,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH117,24.464407,-81.75845,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH118,24.467429,-81.814207,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH119,24.487562,-81.808961,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH120,24.48202,-81.77106000000001,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH122,24.486989,-81.81778799999999,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH123,24.502991,-81.822304,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH124,24.503032,-81.76728900000001,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH125,24.501462,-81.743965,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH126,24.497155,-81.75157400000001,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH127,24.490202,-81.671243,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH128,24.476368,-81.894947,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH129,24.466683,-81.864745,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH130,24.462127,-81.919364,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH132,24.47492,-81.857879,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH134,24.443582,-81.85328199999999,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH135,24.444003,-81.866405,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH136,24.443304,-81.907281,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH137,24.438805,-81.981809,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH138,24.433292,-81.97075700000001,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH139,24.472765,-81.929794,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH140,24.45488,-81.925478,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH141,24.438525,-81.918824,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH142,24.44458,-81.946506,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH143,24.47942700000001,-82.051534,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH144,24.470999,-82.03896,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH145,24.449361,-82.03702300000001,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH146,24.447462,-82.04818400000001,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH147,24.469385,-81.98564500000001,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH148,24.43369300000001,-82.030725,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH149,24.442674,-82.072495,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH150,24.488961,-82.09391100000001,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH151,24.498697,-82.050822,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH152,24.534062,-82.071806,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH153,24.517823,-82.06308900000001,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH154,24.521295,-82.07417100000001,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH155,24.518999,-82.122062,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH156,24.519596,-82.016745,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH157,24.48911500000001,-82.010021,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH160,24.491787,-82.224941,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH161,24.516849,-82.20005000000001,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH162,24.511587,-82.119871,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH163,24.475095,-82.089178,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
CORALPATCH164,24.46331,-82.23766500000001,"CORAL AND PATCH REEF - CHUM HEAVY FOR SNAPPER, GROUPER - LIVE AND CUT BAIT"
