Name,Latitude,Longitude,Description
100FTBARGE,25.774033,-80.07285,100 FT STEEL BARGE BILLYS BARGE
101TUGBOAT,26.009133,-80.09275,AJ COBIA BAITFISH 101 FT STEEL HULLED TUGBOAT
110FTSTEELSHIP,25.811,-80.089833,110 FT STEEL SHIP AJ COBIA BONITA
110FTWRECK,25.849283,-80.096667,110 FT STEEL SHIP HOLDS FISH
116FTSHIP,25.70153300000001,-80.0873,115 FEET STEEL FREIGHTER
120FTBARGE,25.7063,-80.083333,AJ SNAPPER BONITA 120 FT DECK BARGE ON BOTTOM
120FTSTEELBOAT,25.704383,-80.08836700000001,BONITO SKIPJACK BLACKFIN AJ120 FT STEEL SHIP
164FTSHIP,25.8202,-80.07938,RAYCHEL WRECK HOLDS FISH
165FTSHIP,25.621933,-80.09099999999999,165 FT STEEL SHIP HOLDS AJ AND BONITA
177FTWOODSHIP,25.80683,-80.05283,177 FOOT MINE SWEEPER SHIP
195FTBARGE,25.696833,-80.08799999999999,195 FT STEEL BARGE HOLDS FISH
20FTLEDGE,25.738451,-80.098794,TROLL OR DRIFT LEDGES AND LIVE BOTTOM
215FTBARGE,25.7011,-80.089167,215 FT STEEL BARGE
3BROSWRECK,25.570833,-80.125833,"WRECK OR WRECK REMAINS, GOOD FOR TROLLING OR SCATTERED BOTTOM FISHING"
3MILEBOTTOM,25.817041,-80.064769,LIVE BOTTOM ON THE THREE MILE LINE
441WRECK,25.625782,-80.04982,WRECK REMAINS AND LIVE BOTTOM ATTACHED
45FTTUGBOAT,25.908883,-80.090617,45 FT STEEL HULLED TUGBOAT
60FTBARGE,25.8117,-80.090867,60 FT STEEL DECK BARGE
727JETLINER,25.698,-80.087,"727 JET ON BOTTOM, HOLDS FISH"
756WRECK,25.790405,-80.050163,TROLLING FOR SAILS AND MAHI
80FTWRECK,25.6995,-80.083167,80 FT FREIGHTER
90FTSAILBOAT,25.690833,-80.078833,90 FT SAILING SCHOONER
90FTSTEELHULL,25.727067,-80.083117,90 FT STEEL SHIP ON BTM
AAPCAR,25.590283,-80.096667,Ý
ADAMELIA,25.675378,-80.108102,WRECK REMAINS GOOD FOR TROLLING OR SCATTERED BOTTOM FISHING
ALICIA1,25.412233,-80.12736700000001,0Ý
ALICIA2,25.412053,-80.128097,WRECK OR WRECK REMAINS GOOD FOR TROLLING OR SCATTERED BOTTOM FISHING
ALUMINUMWRK,25.948583,-80.1297,MANGROVES 34 FT ALUMINUM VESSEL ON BOTTOM
ANCHORAGEROCKS,25.81293,-80.08925000000001,ANCHORAGE ROCK SITE SCATTERED LIMESTONE AND BOULDERS
ANDROWRECK,25.89405,-80.08555,WRECK HOLDS FISH
ARAKANAPKA,25.591686,-80.09581900000001,WRECK OR WRECK REMAINS GOOD FOR TROLLING OR SCATTERED BOTTOM FISHING
ARMYTANKS,25.81133300000001,-80.09133300000001,M 60 US ARMY TANKS
ARMYTANKS2,25.81133,-80.09133,ARMY TANKS
